Sample	Date	Type	Instrument
JFCF_6_T_1_D_r1	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_D_r2	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_D_r3	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_D_r1	17/2/17	SWATH	ProCan 5
JFCF_6_T_1_D_r2	17/2/17	SWATH	ProCan 5
JFCF_6_T_1_D_r3	17/2/17	SWATH	ProCan 5
JFCF_6_T_1_F_r1	30/1/17	SWATH	ProCan 5
JFCF_6_T_1_F_r2	30/1/17	SWATH	ProCan 5
JFCF_6_T_1_F_r3	30/1/17	SWATH	ProCan 5
JFCF_6_T_1_F_r1	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_F_r2	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_F_r3	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_F_r1	19/1/17	SWATH	ProCan 2
JFCF_6_T_1_F_r2	19/1/17	SWATH	ProCan 2
JFCF_6_T_1_F_r3	19/1/17	SWATH	ProCan 2
JFCF_6_T_1_G_r1	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_G_r2	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_G_r3	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_G_r1	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_G_r2	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_G_r3	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_G_r1	17/2/17	SWATH	ProCan 5
JFCF_6_T_1_G_r2	17/2/17	SWATH	ProCan 5
JFCF_6_T_1_G_r3	17/2/17	SWATH	ProCan 5
JFCF_6_T_1_H_r1	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_H_r2	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_H_r3	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_H_r1	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_H_r2	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_H_r3	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_H_r1	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_H_r2	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_H_r3	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_L_r1	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_L_r2	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_L_r3	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_L_r1	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_L_r2	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_L_r3	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_L_r1	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_L_r2	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_L_r3	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_M_r1	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_M_r2	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_M_r3	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_M_r1	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_M_r2	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_M_r3	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_M_r1	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_M_r2	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_M_r3	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_P_TEL_r1	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_P_TEL_r2	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_P_TEL_r3	1/2/17	SWATH	ProCan 5
JFCF_6_T_1_P_TEL_r1	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_P_TEL_r2	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_P_TEL_r3	14/2/17	SWATH	ProCan 5
JFCF_6_T_1_P_TEL_r1	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_P_TEL_r2	22/2/17	SWATH	ProCan 5
JFCF_6_T_1_P_TEL_r3	22/2/17	SWATH	ProCan 5
