Mortal	Immortal	Protein	nPeptide	log2FC	log2FC_SE	FDR	log_oddsDE
JFCF_6	JFCF_6_T_1_C	sp|P46926|GNPI1_HUMAN	3	-0.967511	0.415944	0.285356	-1.24453
JFCF_6	JFCF_6_T_1_C	sp|P46940|IQGA1_HUMAN	21	0.650596	0.393481	3.75705e-08	14.2875
JFCF_6	JFCF_6_T_1_C	sp|P46977|STT3A_HUMAN	4	0.687046	0.417629	0.438138	-2.31662
JFCF_6	JFCF_6_T_1_C	sp|P47755|CAZA2_HUMAN	7	0.938841	0.648957	0.178064	-0.473206
JFCF_6	JFCF_6_T_1_C	sp|P47756|CAPZB_HUMAN	9	0.512918	0.381465	0.10943	0.185915
JFCF_6	JFCF_6_T_1_C	sp|P47813|IF1AX_HUMAN	1	-0.364059	0.495699	0.692758	-4.55461
JFCF_6	JFCF_6_T_1_C	sp|P47895|AL1A3_HUMAN	2	0.765816	0.280166	0.368011	-1.89022
JFCF_6	JFCF_6_T_1_C	sp|P47897|SYQ_HUMAN	4	-0.263769	0.401191	0.719197	-4.80903
JFCF_6	JFCF_6_T_1_C	sp|P47914|RL29_HUMAN	2	0.933294	0.347378	0.248379	-1.00431
JFCF_6	JFCF_6_T_1_C	sp|P47985|UCRI_HUMAN	2	0.0517058	0.333704	0.74875	-5.03174
JFCF_6	JFCF_6_T_1_C	sp|P48059|LIMS1_HUMAN	2	0.150575	0.073071	0.733477	-4.90791
JFCF_6	JFCF_6_T_1_C	sp|P48444|COPD_HUMAN	10	0.982006	0.436926	9.33893e-06	9.94247
JFCF_6	JFCF_6_T_1_C	sp|P48643|TCPE_HUMAN	7	0.2589	0.506225	0.73465	-4.92008
JFCF_6	JFCF_6_T_1_C	sp|P48735|IDHP_HUMAN	1	0.57059	0.227755	0.621367	-3.88071
JFCF_6	JFCF_6_T_1_C	sp|P48960|CD97_HUMAN	1	0.463632	0.36557	0.66233	-4.27454
JFCF_6	JFCF_6_T_1_C	sp|P49006|MRP_HUMAN	3	0.309531	0.213283	0.672816	-4.3727
